,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
A4GNT,0,0,4,0,3,6,0,0,6,0,0,0
AADAC,0,0,8,1,1,7,0,0,0,0,0,0
AARS,1,0,0,0,0,0,1,0,7,1,0,0
ABCA10,0,1,1,1,0,6,0,1,5,0,0,4
ABCA13,0,4,2,8,11,61,3,5,30,1,2,5
ABCA4,0,1,0,8,8,37,4,1,8,0,2,3
ABCA5,1,0,0,0,3,10,0,1,2,0,0,0
ABCA7,0,1,20,6,11,28,5,7,9,2,3,1
ABCB6,0,1,0,5,1,24,1,0,2,0,0,1
ABCC1,1,0,0,3,4,7,1,2,21,0,0,0
ABCC11,0,0,3,2,7,11,6,0,7,0,1,1
ABCC12,2,1,4,3,6,2,0,2,9,0,0,0
ABCC2,0,0,2,8,3,12,0,0,10,0,0,4
ABCC3,0,0,11,1,4,12,2,2,9,0,1,4
ABCC6,0,4,2,1,3,10,1,4,17,0,1,2
ABCD3,1,0,0,1,0,0,0,5,8,0,0,1
ABCG8,0,0,2,2,3,6,2,2,1,0,0,2
ABHD14A-ACY1,0,1,0,0,1,7,0,0,1,0,0,2
ABL2,0,0,1,0,4,1,0,0,0,0,0,0
ACACB,1,0,0,5,18,29,6,2,11,1,1,1
ACAD10,0,0,2,0,0,13,7,1,1,0,0,0
ACADL,1,0,11,1,1,24,0,1,2,0,0,1
ACSF3,2,0,0,3,3,18,0,2,8,3,9,40
ADAT3,0,1,0,0,0,3,0,0,8,0,0,0
ADCY10,0,1,0,1,11,4,5,0,34,0,0,3
ADH4,1,0,0,0,0,0,0,0,0,0,0,0
ADRA1A,0,7,0,0,1,3,0,2,0,1,0,1
AEBP1,0,0,12,0,10,6,1,0,0,0,0,1
AGER,2,0,0,0,3,0,1,0,0,0,2,0
AGTR2,0,1,0,0,3,0,0,0,0,0,0,0
