,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
A4GNT,0,0,1,0,0,3,1,0,2,0,0,0
AADAC,0,0,2,0,0,6,0,0,0,0,1,1
AADACL2,1,0,0,0,0,1,0,0,1,1,0,0
ABCA10,0,1,0,0,1,15,0,2,8,0,0,2
ABCA13,3,1,6,10,18,76,2,3,20,0,0,0
ABCA5,1,1,0,3,6,6,1,1,6,0,0,0
ABCA7,1,1,14,1,9,27,4,10,9,1,2,0
ABCB6,1,0,0,0,5,26,4,0,0,0,0,0
ABCC11,0,0,2,1,4,20,2,2,5,0,1,2
ABCC12,0,0,6,4,7,6,1,2,9,0,0,0
ABCC2,0,0,2,1,0,25,1,0,10,0,0,1
ABCC3,0,0,9,2,3,8,1,1,12,0,2,1
ABCC4,0,1,0,1,0,13,5,0,0,0,0,6
ABCC6,0,3,5,1,3,16,2,3,17,0,0,1
ABCG2,0,1,1,1,0,5,1,1,0,0,0,0
ABCG5,1,0,0,0,1,15,3,0,1,0,0,0
ABHD1,0,1,1,0,0,4,2,1,2,0,1,0
ACAD10,2,0,1,2,5,11,0,1,1,0,0,0
ACADL,0,0,1,0,1,2,0,2,1,0,0,1
ACADSB,0,1,0,0,1,0,0,0,0,0,6,8
ACE,1,0,1,2,2,36,2,3,5,0,0,0
ACP5,1,0,0,0,5,5,0,0,0,0,0,0
ACSF3,1,0,0,1,5,19,0,2,8,3,6,46
ACTN3,0,1,0,1,2,5,1,1,10,1,0,3
ADAMTS13,1,1,0,4,3,12,4,0,10,1,1,2
ADAMTSL4,0,1,3,2,6,5,0,5,5,0,0,0
ADCY10,1,0,2,3,4,3,1,1,40,0,0,1
ADCY6,1,0,0,1,6,1,0,0,3,0,0,4
ADD1,0,0,3,2,3,4,0,10,2,1,1,0
ADGRA2,0,0,2,2,4,7,1,0,8,0,0,0
ADGRG4,1,0,0,4,1,19,6,0,30,0,0,0
ADH5,1,0,0,0,0,4,0,0,1,0,0,0
ADRA1A,0,4,0,1,3,5,1,0,1,0,0,1
AEBP1,0,0,15,2,3,8,1,0,2,0,0,1
AGBL1,0,1,5,2,2,5,1,1,2,0,0,0
AHI1,0,0,2,1,2,11,1,2,5,1,0,3
AHNAK2,0,3,0,15,39,101,9,26,66,0,0,0
AIMP1,1,0,0,0,0,1,1,0,0,0,0,0
AIPL1,0,0,0,1,1,15,0,0,19,0,0,0
AIRE,0,0,2,0,2,7,5,4,32,0,1,0
AKR7A3,0,0,1,0,1,8,2,2,5,0,0,0
ALDH3A2,1,0,0,1,0,16,0,1,1,0,0,0
ALDH7A1,1,0,0,0,0,2,0,1,0,0,0,2
ALG12,2,0,0,0,3,1,2,2,0,0,0,2
ALK,1,0,0,2,6,2,1,1,6,0,0,2
ALKBH3,0,0,1,0,0,3,0,0,0,0,0,0
ALMS1,2,0,0,32,15,19,2,2,31,0,0,0
ALOX15,0,1,0,1,3,4,0,2,1,1,0,1
ALOXE3,0,1,0,1,0,13,0,1,3,0,0,0
ALS2CL,0,0,2,3,4,11,1,3,10,1,1,0
AMH,0,2,0,3,4,8,2,1,1,0,0,0
AMPD3,1,0,0,2,2,8,1,3,8,0,0,0
ANG,0,2,0,1,1,2,0,0,0,0,0,0
ANGPTL4,0,0,6,0,3,0,0,0,0,0,0,0
ANGPTL5,0,0,1,0,1,0,3,1,0,0,0,0
ANKK1,0,1,2,2,4,24,1,1,0,0,0,0
ANLN,0,0,1,0,4,3,0,0,1,0,0,0
ANO5,0,0,1,2,2,6,0,0,0,0,0,0
ANO6,0,1,0,0,4,0,1,0,16,0,0,2
ANO7,1,0,4,3,4,8,4,3,9,0,0,0
ANXA5,0,0,1,1,1,3,0,0,0,0,0,0
AOAH,0,1,6,1,4,16,1,0,7,0,0,1
AP4B1,0,3,0,0,3,9,0,0,2,0,0,0
APLF,1,2,0,2,0,12,0,1,0,1,0,0
APOBEC1,1,0,6,0,1,1,0,0,0,0,0,0
APOBEC3H,0,0,3,0,0,0,0,3,0,0,0,0
APOC3,0,0,2,0,0,0,0,0,1,0,0,0
APOL2,0,1,0,1,1,3,0,1,0,0,0,0
APRT,1,0,0,1,0,0,0,0,1,0,0,0
AQP5,0,0,12,1,0,0,3,0,0,0,0,0
AQP7,0,0,2,0,0,29,0,0,3,0,2,1
ARHGAP45,0,0,3,5,4,10,1,4,3,0,0,0
ARHGEF10,0,3,0,2,2,8,1,9,6,0,0,0
ARID1B,0,2,0,3,7,9,3,4,21,0,0,1
ARID4A,0,0,3,3,0,1,1,0,5,0,1,0
ARSF,0,1,0,1,0,7,1,1,5,0,0,0
ARVCF,0,0,1,2,4,22,6,4,1,0,2,0
ASCC1,0,0,0,0,0,4,0,1,1,3,0,2
