,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
A2ML1,0,0,2,0,0,2,0,0,0,0,0,2
A4GNT,0,0,80,5,16,36,4,6,86,0,0,0
AADAC,1,0,56,6,3,73,0,2,0,0,3,7
AADACL2,1,0,0,9,2,10,4,3,11,0,3,0
AARS2,3,1,0,30,118,19,44,68,30,0,7,16
ABCA1,1,0,8,28,53,176,53,25,176,18,55,26
ABCA10,3,23,3,36,15,139,5,10,124,1,1,20
ABCA12,5,5,0,75,86,229,17,19,232,2,5,14
ABCA13,14,21,51,122,201,894,60,72,290,0,1,25
ABCA4,4,3,0,73,109,535,59,77,113,1,2,42
ABCA5,12,2,0,23,39,109,5,12,32,1,0,2
ABCA7,5,22,179,36,103,324,71,94,130,4,55,14
ABCA9,0,3,0,0,0,0,0,0,1,0,0,0
ABCB11,9,0,0,18,33,54,27,32,79,0,9,12
ABCB4,1,0,0,23,22,146,18,15,86,2,4,2
ABCB5,10,2,19,32,27,109,13,19,32,1,0,0
ABCB6,6,0,2,30,65,406,27,2,6,0,3,1
ABCC1,7,0,0,51,110,123,61,64,323,6,3,3
ABCC11,0,6,51,29,43,233,44,17,70,2,6,6
ABCC12,6,0,91,38,99,76,9,15,105,0,0,3
ABCC2,0,6,38,50,27,304,2,7,116,2,2,12
ABCC3,5,2,99,48,52,160,31,17,96,2,60,20
ABCC4,7,4,0,10,14,134,30,16,11,1,3,64
ABCC6,0,18,44,43,56,162,5,67,202,2,11,3
ABCC8,3,0,0,49,36,20,24,27,146,3,5,30
ABCD1,1,0,0,14,194,24,14,14,32,0,3,0
ABCD4,1,2,0,9,8,81,26,7,13,3,0,4
ABCG2,2,3,3,13,9,63,12,23,17,6,0,2
ABCG5,3,2,0,24,13,234,32,6,47,0,0,3
ABCG8,2,0,10,28,22,135,8,16,79,0,7,9
ABHD1,0,2,1,3,9,97,23,3,14,2,3,0
ABHD10,1,0,0,0,0,0,1,0,0,0,0,0
ABHD14A-ACY1,2,0,0,7,28,116,5,4,12,3,0,48
ABHD5,1,0,0,0,0,5,8,5,13,0,0,0
ABL2,0,0,7,13,24,1,8,11,2,2,0,0
ABO,1,0,0,15,1,57,1,5,55,5,0,0
ABTB1,0,0,1,0,0,0,0,1,0,0,0,0
ACACB,10,0,0,74,158,411,42,124,147,7,2,14
ACAD10,9,5,12,23,31,80,20,12,19,1,1,1
ACAD11,0,2,0,13,69,9,10,36,104,2,0,0
ACAD9,2,0,0,22,26,5,14,11,93,47,11,76
ACADL,2,0,78,6,23,170,0,14,18,0,0,15
ACADM,2,0,0,3,4,106,1,2,6,0,0,0
ACADSB,0,11,0,13,8,33,0,1,7,0,96,128
ACAN,0,4,0,20,84,115,27,13,86,0,1,3
ACAT1,1,0,7,3,23,1,4,3,11,0,0,4
ACE,5,0,16,34,60,433,25,27,59,19,9,5
ACKR1,3,0,0,6,7,201,0,0,0,0,0,3
ACOD1,1,0,0,0,0,0,0,0,0,0,0,0
