,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
A2ML1,0,0,2,0,0,1,0,0,0,0,0,1
A4GNT,0,0,77,1,10,38,7,10,97,0,0,0
AADAC,2,0,66,7,5,77,0,3,0,0,3,7
AADACL2,1,0,0,8,2,16,6,2,10,0,2,0
AARS,1,0,0,19,12,28,36,4,65,2,3,1
AARS2,2,1,0,24,113,33,41,73,27,1,5,23
ABCA1,0,0,10,33,70,158,44,27,167,15,68,30
ABCA10,4,23,6,32,16,132,6,7,113,0,0,22
ABCA12,5,5,0,75,81,232,25,22,245,2,3,13
ABCA13,17,33,50,115,200,889,68,78,281,2,4,37
ABCA4,3,6,0,66,147,568,55,68,113,5,10,37
ABCA5,8,3,0,19,50,113,10,9,25,1,0,2
ABCA7,9,18,179,59,112,337,60,82,136,9,48,18
ABCB11,12,0,0,28,28,41,21,39,72,0,4,15
ABCB4,1,0,0,18,23,149,9,23,78,1,2,4
ABCB5,6,1,18,24,22,99,9,18,46,0,0,0
ABCB6,3,0,1,31,59,378,27,1,11,2,2,3
ABCC1,7,0,0,44,80,112,43,68,341,3,4,5
ABCC11,2,8,45,24,39,214,37,15,89,3,7,6
ABCC12,8,5,83,29,94,63,6,26,108,0,0,1
ABCC2,1,2,26,49,39,269,3,5,97,3,3,19
ABCC3,5,4,109,54,48,167,30,10,89,3,53,30
ABCC4,5,2,0,10,11,142,26,18,13,2,4,84
ABCC6,1,23,39,40,55,152,14,67,222,1,12,5
ABCC8,3,0,0,36,30,36,16,31,141,2,1,36
ABCD1,2,0,0,19,199,19,9,20,41,0,3,0
ABCD4,1,2,0,16,10,72,13,9,10,4,2,2
ABCG2,1,2,6,17,9,66,11,25,10,3,0,1
ABCG5,5,2,0,26,12,221,34,7,47,0,0,1
ABCG8,0,0,5,32,25,138,13,17,73,0,4,9
ABHD1,0,1,3,2,14,94,18,2,6,1,2,1
ABHD10,2,0,0,0,0,0,1,0,0,0,0,0
ABHD14A-ACY1,1,1,0,8,22,125,10,2,11,5,0,49
ABL2,0,0,6,6,26,3,7,9,4,1,0,0
ABO,3,0,0,14,0,61,0,6,55,4,0,0
ABTB1,0,0,2,0,0,0,0,2,0,1,0,0
ACACB,11,0,0,75,167,407,48,122,136,9,1,6
ACAD10,5,6,9,13,27,103,26,13,11,2,0,1
ACAD11,0,2,0,15,61,3,6,29,121,1,0,0
ACAD9,2,0,0,22,25,3,17,18,93,53,10,69
ACADL,4,0,88,8,33,192,0,12,22,0,0,15
ACADM,4,0,0,7,4,104,1,2,5,0,0,0
ACADSB,0,8,0,13,2,39,0,0,1,0,100,125
ACAN,0,3,0,21,79,117,21,10,89,0,1,5
ACAT1,2,0,5,4,13,1,6,6,5,0,0,2
ACAT2,2,0,0,14,2,0,7,0,1,0,0,1
ACE,3,0,14,35,55,436,20,33,55,17,8,6
ACKR1,2,0,0,7,4,201,1,1,0,0,0,1
ACOD1,1,0,0,0,0,0,0,0,0,0,0,0
ACP1,2,0,0,12,2,0,2,6,203,0,7,2
ACP2,0,2,0,7,34,191,11,5,38,0,0,2
ACP5,6,0,0,3,49,67,3,2,10,0,0,3
ACP6,0,2,0,8,13,97,10,9,16,0,0,1
ACSF3,3,0,0,13,49,252,3,16,109,81,110,518
ACSM2A,0,0,2,0,0,0,0,0,2,0,0,1
ACSM2B,2,1,1,6,90,95,8,8,75,0,2,15
ACSM3,0,0,2,13,2,94,1,2,41,0,4,7
ACTN3,0,2,2,30,40,171,14,13,90,4,0,125
ACTRT1,0,0,10,4,6,0,0,5,0,2,0,0
ACVR1C,1,0,0,7,2,19,5,20,54,0,0,2
ADAM12,1,0,0,8,35,143,14,56,56,1,1,123
ADAM17,0,2,0,26,5,107,1,5,80,0,2,17
ADAM33,3,3,0,37,11,118,21,7,131,1,2,25
ADAM7,0,0,2,22,25,103,10,9,230,0,1,7
ADAMTS1,14,1,0,15,22,160,11,5,45,0,1,0
ADAMTS10,1,0,0,21,20,45,57,49,477,0,2,15
ADAMTS13,2,3,0,40,34,133,64,18,68,7,5,23
ADAMTS16,4,0,0,21,26,149,25,31,149,7,1,2
ADAMTS17,8,0,0,28,54,49,49,50,95,3,8,34
ADAMTS18,1,1,0,38,52,113,31,45,109,0,2,304
ADAMTS2,0,0,1,27,75,127,21,30,229,0,6,8
ADAMTSL4,2,2,18,36,83,96,9,12,123,5,6,11
ADARB1,1,0,0,22,14,130,1,20,148,0,2,3
ADAT3,3,1,0,18,22,26,0,0,80,0,0,0
ADCY10,14,4,8,21,113,65,43,11,489,4,0,13
ADCY6,1,0,0,24,67,5,7,18,81,0,1,19
ADD1,0,0,2,24,10,23,4,77,37,1,0,2
ADGRA2,0,0,4,36,64,136,12,11,97,0,2,0
ADGRA3,2,0,0,23,65,67,1,30,5,1,0,0
ADGRF3,0,1,0,0,0,1,1,0,0,0,0,0
ADGRG1,3,0,0,7,174,18,13,9,38,1,3,9
ADGRG4,3,0,0,61,75,301,36,29,460,0,0,0
ADGRV1,8,2,0,146,194,955,79,125,328,21,13,69
ADH1A,3,0,0,4,10,20,5,0,0,0,0,0
ADH4,2,1,0,3,13,14,2,3,0,3,1,8
ADH5,1,0,0,19,11,35,1,3,19,0,0,2
ADH7,3,0,0,15,20,59,0,4,34,1,0,2
ADIPOQ,0,1,0,20,2,39,2,3,2,0,0,0
ADNP,2,0,0,7,11,132,14,34,22,0,0,0
ADORA3,1,0,0,1,6,2,6,0,0,0,0,0
ADRA1A,0,57,0,7,37,87,3,9,14,19,4,13
ADRB1,2,0,0,2,0,4,3,0,7,0,6,0
AEBP1,0,1,197,19,67,129,29,9,12,0,3,19
AFF3,1,0,0,22,25,175,29,30,50,0,2,6
AFG3L2,1,0,0,7,2,9,10,35,40,1,0,15
AGAP9,0,0,1,0,0,0,0,0,0,0,0,0
AGBL1,0,5,61,30,25,84,18,7,85,0,0,1
AGBL4,2,0,0,2,12,23,5,4,4,0,0,81
AGER,5,2,0,8,28,12,8,1,2,1,2,0
AGGF1,3,0,0,34,40,172,4,12,24,0,0,18
AGMO,0,6,0,16,8,89,7,3,7,0,1,19
AGPAT2,0,0,2,1,15,1,4,12,104,0,1,0
AGRN,5,0,0,89,73,800,65,55,201,4,2,4
AGT,2,0,0,0,18,92,6,10,38,2,0,6
AGTR2,0,5,0,1,52,31,0,2,0,0,0,0
AGXT2,7,0,0,8,14,4,2,6,127,4,5,10
AHI1,0,1,27,33,41,239,29,17,65,18,0,27
AHNAK2,6,26,0,256,457,1657,142,319,1361,0,3,0
AHRR,2,0,0,34,19,38,15,75,294,1,1,19
AHSG,2,0,0,59,1,3,3,8,153,0,0,3
AIFM3,0,1,0,0,0,0,0,0,0,0,0,2
AIMP1,1,0,0,5,8,4,18,2,4,6,0,10
AIRE,1,2,31,9,28,116,13,86,486,1,6,13
AK2,2,0,0,9,27,66,0,2,250,48,23,517
AK7,3,0,0,31,31,89,0,27,18,0,12,0
AK8,1,0,0,6,21,73,8,24,1,0,7,1
AKAP13,2,2,0,84,101,576,31,69,349,0,7,13
AKAP9,4,2,0,78,71,389,19,34,214,5,1,29
AKR1C2,1,0,1,8,7,23,2,3,26,6,0,6
AKR1C3,1,3,0,46,15,33,37,0,7,4,7,4
AKR1C4,3,0,12,5,1,4,0,5,0,0,0,49
AKR7A2,1,0,0,6,86,20,0,16,35,0,0,0
AKR7A3,0,0,5,22,10,114,4,14,98,1,0,4
ALDH16A1,3,2,0,34,54,271,31,23,71,4,6,15
ALDH1B1,0,0,3,17,35,43,3,2,318,0,0,0
ALDH3A2,2,0,0,5,2,289,2,13,14,0,1,4
ALDH6A1,0,1,0,13,12,98,1,1,23,0,0,9
ALDH7A1,0,5,0,6,10,71,6,5,23,0,9,20
ALDOB,1,0,0,10,10,155,4,2,37,4,0,0
ALG10,0,0,1,3,37,6,6,0,0,0,0,0
ALG10B,3,0,1,2,48,153,0,0,0,0,0,2
ALG12,14,0,0,5,37,12,14,6,7,1,2,57
ALG13,0,0,4,7,10,23,4,10,27,2,5,20
ALG14,0,0,0,3,3,47,7,0,3,0,0,0
ALG2,4,0,0,6,14,2,21,3,124,6,35,97
ALG8,3,0,9,9,5,34,22,1,13,0,1,0
ALKBH3,2,5,22,0,1,34,3,2,4,0,0,2
ALMS1,16,2,0,448,168,244,36,41,353,12,2,1
ALOX12,2,0,0,24,4,71,4,3,39,0,2,8
ALOX12B,2,0,0,11,31,70,8,5,122,1,1,17
ALOX15,3,5,2,28,54,85,15,64,4,8,0,17
ALOXE3,4,20,0,19,14,197,2,3,46,3,0,0
ALPL,3,0,0,20,10,0,9,23,33,1,0,1
ALPP,10,5,0,6,22,371,1,13,63,0,0,2
ALPPL2,0,1,0,0,0,0,0,0,0,0,0,0
ALS2,2,0,0,34,141,86,54,36,55,1,46,9
ALS2CL,2,0,43,36,31,122,21,67,154,2,6,14
AMBN,0,3,3,3,6,40,16,7,4,2,0,2
AMH,0,6,0,26,36,130,10,13,4,0,6,0
AMHR2,2,0,0,14,17,0,11,1,28,1,0,0
AMN,1,0,0,5,1,5,7,3,64,0,2,2
AMPD1,5,6,1,71,23,218,3,5,164,1,12,0
AMPD3,0,0,1,26,34,92,23,23,87,1,2,0
AMT,0,1,0,17,64,3,4,45,9,6,0,70
AMZ2,0,0,3,0,0,2,0,0,0,0,0,0
ANG,0,27,0,3,15,23,0,0,0,0,0,0
ANGPT1,3,0,0,0,28,10,6,4,0,0,1,1
ANGPT2,1,0,0,5,11,53,3,3,4,0,2,0
ANGPTL3,0,1,0,1,6,7,6,3,0,0,0,0
ANGPTL4,0,0,51,10,39,28,6,3,7,0,5,0
ANGPTL5,0,0,1,6,3,0,28,28,6,0,0,0
ANGPTL6,0,20,8,8,28,7,6,4,1,0,0,0
ANK1,1,0,0,36,70,240,51,36,179,5,25,92
ANK2,1,0,0,87,168,415,34,117,190,6,2,43
ANKK1,0,6,22,30,20,288,4,12,1,0,0,5
ANKLE2,2,0,0,14,34,57,5,35,65,2,0,0
ANKRD1,1,0,0,10,11,143,2,27,7,0,1,6
ANKRD11,2,0,0,147,105,71,97,74,644,2,19,110
ANKRD20A1,0,0,2,16,0,0,0,0,0,0,0,0
ANKRD26,1,18,0,18,40,477,16,6,133,0,5,5
ANKRD30A,0,0,1,0,0,4,0,0,0,0,0,0
ANKRD35,1,0,0,0,0,1,0,0,0,0,4,0
ANLN,2,1,13,7,50,10,3,3,19,1,1,0
ANO10,2,1,1,24,40,25,11,7,3,1,0,65
ANO3,0,1,0,9,8,64,4,6,43,0,0,108
ANO5,0,6,4,9,39,150,9,0,10,0,3,8
ANO6,6,18,0,8,59,28,16,5,220,0,4,14
ANO7,2,1,31,24,52,215,29,78,156,2,10,6
ANO9,0,0,2,0,0,0,0,0,0,2,0,3
ANTXR2,1,0,0,12,38,20,4,4,10,0,2,14
ANXA1,0,0,9,76,0,14,2,2,184,1,0,0
ANXA5,1,2,27,27,4,43,6,5,13,0,3,0
AOAH,0,6,41,8,18,157,15,15,63,3,2,9
AOC1,2,0,0,25,48,100,10,13,31,0,1,0
AP1S1,0,1,0,2,0,0,0,11,28,0,0,0
AP1S3,0,1,0,4,0,121,0,3,3,5,0,0
AP3B1,0,1,0,18,8,188,5,14,182,1,3,2
AP4B1,0,16,0,16,76,81,7,0,37,0,2,0
AP4S1,7,2,0,6,0,5,2,0,21,0,1,16
APAF1,0,3,0,33,35,151,32,69,6,2,0,52
APBB2,1,0,0,2,31,85,8,50,22,0,1,0
APBB3,2,0,0,5,27,26,12,2,142,2,5,4
APC,0,2,0,101,75,145,18,80,298,1,4,0
APEX1,0,2,0,9,15,15,0,4,208,0,0,150
APH1B,0,2,0,3,0,3,1,1,7,0,0,7
APITD1-CORT,0,2,0,1,7,0,1,1,0,2,0,30
APLF,1,5,1,4,1,77,0,9,12,6,1,0
APOA2,1,0,0,2,2,5,2,7,2,0,1,0
APOA4,0,52,0,12,4,210,7,37,2,1,0,0
APOB,7,0,0,128,253,1018,79,59,216,1,0,16
APOBEC1,0,0,86,1,1,30,1,2,0,0,0,0
APOBEC3G,0,0,0,15,4,4,4,21,2,1,1,2
APOBEC3H,1,0,24,0,6,2,11,60,0,0,0,0
APOC3,0,0,33,2,0,0,0,0,0,0,0,0
APOC4,1,0,0,1,0,0,1,7,17,0,0,0
APOH,1,0,2,0,3,4,7,5,65,0,2,10
APOL2,1,0,0,12,20,32,2,2,0,0,0,0
APOL3,0,0,1,3,30,160,4,8,21,0,1,0
APOL6,16,0,0,3,36,11,2,18,71,0,0,0
APOLD1,0,0,1,0,0,3,0,0,0,0,0,0
APRT,10,1,0,15,2,7,5,1,19,0,1,0
APTX,1,2,0,20,3,18,0,2,43,31,55,26
AQP3,7,0,0,2,0,1,1,0,6,0,0,2
AQP5,1,0,106,5,20,32,44,5,2,0,0,0
AQP7,0,2,36,2,13,311,9,3,27,0,33,14
ARHGAP11A-SCG5,3,0,0,0,2,0,1,0,1,0,0,0
ARHGAP18,3,0,0,4,8,12,4,5,3,0,0,0
ARHGAP24,1,0,0,23,28,27,5,3,47,2,0,0
ARHGAP45,0,0,21,46,55,91,10,62,30,6,1,3
ARHGAP9,2,0,0,15,43,162,10,8,2,2,5,13
ARHGDIA,7,0,1,7,22,23,6,13,12,12,4,1
ARHGEF10,0,3,1,56,42,108,20,39,110,2,5,45
ARID1B,0,1,0,55,73,147,11,38,280,1,2,7
ARID4A,1,0,73,28,5,42,2,0,41,0,2,0
ARL11,0,1,0,7,31,61,1,0,9,0,0,0
ARL13B,2,0,0,0,4,166,5,2,183,9,42,246
ARL14EP,1,0,0,0,1,0,1,7,0,0,0,0
ARL2BP,0,1,0,3,0,0,2,1,0,0,0,0
ARL6IP6,2,0,0,12,2,1,5,0,0,0,0,1
ARMC6,0,1,0,0,0,0,0,0,0,0,0,0
ARMS2,0,0,2,0,0,0,0,1,0,0,0,0
ARSA,0,0,3,9,86,10,4,8,113,1,4,7
ARSB,7,0,0,75,7,50,4,1,50,1,0,0
ARSD,14,0,0,0,75,0,49,18,2,81,182,77
ARSF,0,17,0,14,13,69,4,4,145,0,4,8
ARSI,0,1,0,24,28,16,8,6,208,0,0,0
ARV1,0,1,0,1,7,63,0,0,0,0,0,1
ARVCF,0,1,6,58,61,314,42,43,30,5,7,4
AS3MT,0,1,0,5,7,21,2,6,3,1,1,6
ASB10,0,9,6,22,99,146,48,20,17,1,23,15
ASCC1,1,0,0,3,1,22,1,2,29,26,19,21
ASCC3,3,2,0,27,5,13,42,12,50,0,0,19
ASIC3,2,10,6,12,30,40,6,29,9,1,0,0
ASL,3,0,0,14,29,16,6,8,29,1,2,159
ASMT,0,0,82,2,6,49,0,4,0,0,0,0
ASMTL,0,10,0,18,31,79,4,13,37,0,0,16
ASNS,6,0,0,8,5,17,1,7,14,1,0,0
ASPH,3,0,0,37,32,96,3,14,63,6,1,164
ASPM,8,5,0,67,71,125,37,20,80,3,11,9
ASPN,0,7,19,3,0,26,10,40,38,1,0,1
ASPSCR1,0,1,13,5,39,101,18,54,110,0,11,1
ASS1,5,0,0,16,1,7,18,45,197,3,3,2
ASXL1,2,0,0,41,48,164,21,33,16,0,2,0
ATAD3A,3,0,0,18,25,340,12,26,123,1,0,10
ATAD3B,15,6,0,22,50,149,6,54,318,0,0,2
ATF5,1,7,0,1,4,152,0,2,108,0,0,0
ATG16L2,0,2,0,1,0,0,0,0,0,3,1,1
ATG4C,0,0,1,0,0,5,1,0,0,0,0,0
ATG7,0,1,0,12,22,77,8,5,0,2,3,4
ATIC,0,1,0,9,29,16,1,13,157,1,1,13
ATL3,1,0,0,8,4,5,2,37,68,2,57,2
ATM,12,2,0,58,159,296,37,21,273,6,5,22
ATP10D,8,0,0,12,34,54,8,0,25,2,0,13
ATP11A,0,1,0,0,0,1,0,0,0,0,1,2
ATP11B,0,1,0,22,22,35,16,4,25,0,0,0
ATP13A2,0,1,0,36,86,77,13,18,208,1,14,93
ATP13A4,3,0,0,73,17,19,17,16,66,0,0,4
ATP13A5,8,0,144,13,11,202,20,33,4,0,0,0
ATP1A2,2,0,0,2,2,99,27,35,15,9,8,9
ATP2A1,0,2,2,14,14,45,17,15,140,2,3,2
ATP2A3,2,0,0,45,23,162,34,35,291,2,1,5
ATP2C1,2,0,0,26,3,0,32,23,46,0,0,17
ATP5I,2,0,0,0,4,4,1,4,28,0,0,0
ATP5J2-PTCD1,3,2,2,12,48,64,13,19,82,2,0,8
ATP5SL,2,0,0,9,81,91,6,4,3,1,2,17
ATP6V0A1,1,0,0,3,8,23,10,7,18,0,6,2
ATP6V0A2,2,0,0,21,12,32,17,6,37,0,0,0
ATP6V0A4,1,0,0,24,30,14,9,14,90,1,5,0
ATP6V1B1,10,0,0,49,44,5,6,10,13,0,3,8
ATP7B,2,5,0,41,98,224,20,11,254,1,2,36
ATP8B1,2,0,0,42,27,348,6,11,411,2,1,4
ATP8B3,1,2,0,0,0,3,0,2,3,0,0,2
ATR,0,1,2,21,34,255,14,9,567,4,64,13
ATRIP,26,0,0,25,16,64,20,17,27,2,8,15
ATRNL1,1,0,0,11,12,24,4,12,6,1,2,7
ATXN2,0,0,5,32,26,55,8,2,63,6,1,17
ATXN3L,0,2,86,2,3,25,1,15,2,0,0,0
ATXN7,0,0,2,22,10,90,18,15,157,15,26,12
AUH,0,5,0,4,5,2,16,1,4,2,0,25
AURKA,4,0,0,2,28,0,3,3,0,0,8,0
AURKB,1,0,0,9,1,22,5,24,27,0,4,1
AURKC,0,3,0,2,1,3,0,1,16,30,0,1
B3GALNT1,0,0,3,5,0,1,0,9,2,0,0,1
B3GALNT2,1,0,0,9,4,5,9,6,9,1,1,1
B3GALT1,2,0,0,17,5,0,1,4,0,0,0,1
B3GLCT,0,0,22,21,10,20,5,3,81,1,0,2
B3GNT3,3,0,0,5,7,97,6,0,46,0,0,0
B3GNT4,6,0,8,15,27,5,1,25,50,16,58,60
B3GNT8,0,0,1,27,9,15,21,1,2,0,2,0
B4GALNT1,0,1,0,26,10,22,2,53,38,7,48,378
B4GALNT2,0,1,0,19,37,73,7,12,47,0,4,2
B4GALNT3,2,23,0,14,26,89,37,19,105,1,1,1
B4GALNT4,1,0,0,16,24,92,32,10,33,1,2,1
B4GALT7,0,3,27,13,19,31,1,2,31,0,0,8
BANK1,17,12,0,22,11,111,5,29,56,1,1,7
BAP1,0,0,2,6,21,5,17,14,145,2,2,31
BARD1,8,7,0,16,35,94,23,13,77,0,3,0
BAX,0,3,0,5,7,0,1,1,10,8,1,4
BBS1,0,9,0,22,11,57,9,32,4,2,2,4
BBS10,1,0,6,28,33,2,1,2,0,0,0,0
BBS2,2,1,0,19,2,69,11,6,68,0,0,7
BBS5,1,0,0,4,1,70,1,0,0,2,0,0
BBS7,0,6,0,13,7,11,16,6,7,13,0,0
BBS9,9,5,0,6,8,12,3,9,4,0,6,11
BCAT1,2,0,0,3,3,305,2,1,2,0,0,12
BCAT2,0,10,0,16,5,41,3,6,209,5,0,0
BCHE,10,1,5,12,0,165,3,19,6,2,2,0
BCKDK,1,0,0,17,5,3,5,10,7,0,0,10
BCL10,0,1,0,2,0,12,2,0,1,0,0,2
BCL2A1,1,0,0,2,6,0,3,14,7,0,0,3
BCL9,0,1,0,20,104,111,20,4,59,0,2,0
BCLAF1,0,1,2,7,2,10,11,6,12,0,0,44
BCO1,4,0,0,28,7,46,18,27,25,1,3,2
BCR,451,0,0,190,31,418,19,50,134,3,8,3
BCS1L,4,0,0,12,3,20,2,69,4,0,0,0
BDKRB2,2,0,0,9,30,111,0,6,12,4,1,0
BDNF,0,0,7,1,0,13,6,15,3,1,0,3
BDP1,2,2,0,22,160,273,16,22,79,0,0,2
BIN1,0,0,3,18,15,18,9,10,27,0,0,7
BIVM-ERCC5,5,2,1,27,44,326,18,25,129,0,2,10
BLK,0,0,1,18,18,118,13,18,245,1,0,11
BLM,5,29,0,23,32,167,13,15,112,4,0,0
BLMH,0,1,0,18,1,46,14,13,1,1,4,0
BLOC1S5,0,0,1,0,0,0,3,0,148,0,0,0
BMP1,0,1,0,34,20,8,13,57,81,1,3,9
BMPR2,2,0,0,5,12,11,5,3,0,1,5,2
BMS1,1,0,0,20,8,168,7,24,64,0,5,0
BOC,2,0,0,50,41,81,8,16,19,0,2,1
BOLA3,1,0,0,0,6,8,0,0,0,0,0,3
BPIFA1,0,5,0,9,8,25,7,0,0,0,0,22
BPIFA3,0,0,1,1,2,11,1,0,1,0,0,0
BRAF,12,0,0,2,2,2,1,26,26,1,2,8
BRAT1,0,9,0,52,30,332,17,30,98,0,1,1
BRCA1,15,0,26,54,82,142,23,26,47,44,72,70
BRCA2,1,8,0,42,50,446,20,37,187,0,0,0
